index,cntry_name,cntry_iso,catalog_id,id_number,latitude,longitude,flr_volume,avg_temp,ellip,dtc_freq,clr_obs,flr_type,queue
2794,Egypt,EGY,EGY_UPS_2015_27.7157E_30.7388N_v0.2,4833,30.738811,27.7157,0.011121323,1795.11,1.19024,51.3382,411,upstream,True
2795,Cameroon,CMR,CMR_UPS_2015_08.5324E_4.3333N_v0.2,5079,4.333281,8.532405,0.01109106,1757.77,1.60393,48.8889,45,upstream,True
2796,Iran,IRN,IRN_UPS_2015_48.4970E_31.2167N_v0.2,6274,31.216661,48.496976,0.011081491,1746.71,2.23421,64.6707,334,upstream,True
2797,Mexico,MEX,MEX_UPS_2015_97.8424W_20.7160N_v0.2,3124,20.716027,-97.842431,0.011080288,1867.07,1.55928,58.2888,187,upstream,True
2798,Chile,CHL,CHL_DNS_2015_73.1266W_36.7834S_v0.2,3811,-36.783441,-73.126614,0.011068371,1807.17,2.29276,65.4676,278,refinery,True
2799,United States,USA,USA_UPS_2015_103.2482W_47.9335N_v0.2,533,47.933543,-103.24816,0.011068282,1919.52,4.05188,19.6013,301,upstream,True
2800,Iraq,IRQ,IRQ_UPS_2015_44.8395E_33.4063N_v0.2,6071,33.406307,44.839459,0.011064144,1571.91,1.6015,88.1159,345,upstream,True
2801,Algeria,DZA,DZA_UPS_2015_04.7451E_32.1734N_v0.2,4507,32.173392,4.745121,0.011063175,1718.78,0.889502,84.8,375,upstream,True
2802,Taiwan,TWN,TWN_UPS_2015_114.8991E_20.2478N_v0.2,9171,20.247814,114.899101,0.011034703,1637.43,1.48975,65.4321,162,upstream,True
2803,United States,USA,USA_UPS_2017_98.7308W_28.7332N_v0.2,2640,28.733163,-98.730825,0.011020554,1887.11,1.45508,43.1034,232,upstream,True
2804,China,CHN,CHN_UPS_2015_118.8418E_38.7254N_v0.2,8984,38.725406,118.841779,0.011017737,1809.81,3.87544,50.1832,273,upstream,True
2805,Thailand,THA,THA_UPS_2015_102.9875E_7.5918N_v0.2,9080,7.591792,102.987486,0.011012306,1565.51,1.48251,67.7632,152,upstream,True
2806,China,CHN,CHN_UPS_2015_119.6272E_38.3144N_v0.2,9017,38.314447,119.627211,0.011010839,1704.64,2.25747,47.8764,259,upstream,True
2807,Russian Federation,RUS,RUS_UPG_2015_79.6289E_66.8138N_v0.2,7519,66.813756,79.628879,0.011005849,1752.84,1.77971,57.971,345,gas,True
2808,United States,USA,USA_UPS_2015_104.0137W_31.7691N_v0.2,1209,31.769118,-104.013672,0.01099989,1850.3,1.69308,44.7761,268,upstream,True
2809,United States,USA,USA_UPS_2015_102.4970W_47.5611N_v0.2,915,47.561086,-102.497048,0.010989851,1944.13,1.94202,44.3262,282,upstream,True
2810,Russian Federation,RUS,RUS_UPG_2015_76.1195E_64.3040N_v0.2,7285,64.303999,76.119525,0.010980546,1831.53,1.9888,50.7937,252,gas,True
2811,United States,USA,USA_UPS_2019_103.5313W_31.0813N_v0.2,1624,31.081313,-103.531259,0.010978051,1934.2,1.99767,37.0107,281,upstream,True
2812,United States,USA,USA_UPS_2018_101.6796W_32.4764N_v0.2,2279,32.47638,-101.679641,0.010975057,1787.53,1.32667,26.1745,298,upstream,True
2813,Venezuela,VEN,VEN_UPS_2015_63.5417W_9.6130N_v0.2,3621,9.612962,-63.541717,0.010971829,2066.97,1.6015,44.958,238,upstream,True
2814,United States,USA,USA_UPS_2018_103.8707W_31.6240N_v0.2,1322,31.623965,-103.87068,0.010958913,1878.81,1.456,21.7391,299,upstream,True
2815,United States,USA,USA_UPS_2015_103.3571W_31.8989N_v0.2,1751,31.898948,-103.357079,0.010958033,1774.92,3.40684,15.7509,273,upstream,True
2816,United States,USA,USA_UPS_2018_103.7233W_31.2336N_v0.2,1411,31.233601,-103.723299,0.010954187,1799.67,1.36886,36.9718,284,upstream,True
2817,United States,USA,USA_UPS_2017_103.4860W_31.8317N_v0.2,1657,31.831681,-103.486034,0.010940949,1836.58,1.49192,47.7032,283,upstream,True
2818,China,CHN,CHN_UPS_2015_120.3115E_39.1616N_v0.2,9548,39.161602,120.311452,0.010940568,1789.08,2.28957,53.4247,292,upstream,True
2819,United States,USA,USA_UPS_2016_103.7391W_31.9151N_v0.2,1398,31.915078,-103.739112,0.010925333,1920.53,3.0344,55.0877,285,upstream,True
2820,Russian Federation,RUS,RUS_UPS_2015_57.0418E_64.7951N_v0.2,5333,64.795063,57.041781,0.010908338,1821.66,1.62069,45.6835,278,upstream,True
2821,Nigeria,NGA,NGA_UPS_2019_04.9308E_5.9683N_v0.2,4869,5.968315,4.930772,0.010899826,1446.25,1.6015,13.2813,128,upstream,True
2822,United States,USA,USA_UPS_2018_102.9158W_47.3704N_v0.2,660,47.370435,-102.915805,0.010899503,1894.71,1.54578,33.1081,296,upstream,True
2823,United Arab Emirates,ARE,ARE_UPS_2015_53.3165E_23.5710N_v0.2,6719,23.570996,53.316461,0.010889728,1821.35,1.6015,63.5389,373,upstream,True
2824,Congo,COG,COG_UPS_2017_12.0402E_4.8697S_v0.2,5207,-4.869724,12.0402,0.010886382,1803.39,2.25762,56.25,80,upstream,True
2825,United States,USA,USA_UPS_2015_97.7178W_29.1348N_v0.2,2819,29.134816,-97.71784,0.010882184,1918.61,1.6015,38.9764,254,upstream,True
2826,Indonesia,IDN,IDN_UPS_2015_100.9818E_1.5280N_v0.2,9194,1.527959,100.981824,0.010874699,1892.73,1.88724,51.7857,112,upstream,True
2827,United States,USA,USA_UPS_2015_97.7611W_29.1609N_v0.2,2810,29.160904,-97.761085,0.010873672,1871.1,1.4276,64.135,237,upstream,True
2828,Russian Federation,RUS,RUS_DNS_2015_32.0887E_59.5037N_v0.2,5280,59.503744,32.088703,0.010871588,1819.7,3.41909,42.7273,220,refinery,True
2829,Russian Federation,RUS,RUS_UPG_2015_76.0334E_64.6024N_v0.2,7278,64.60244,76.033403,0.0108683,1807.77,2.13774,55.2901,293,gas,True
2830,United States,USA,USA_DNS_2015_95.1242W_29.7394N_v0.2,2999,29.739441,-95.124162,0.010850043,1305.38,0.932917,66.4894,188,refinery,True
2831,United States,USA,USA_UPS_2015_102.7423W_30.8606N_v0.2,1952,30.860599,-102.742321,0.010833488,1864.26,1.96068,52.027,296,upstream,True
2832,United States,USA,USA_UPS_2019_103.8618W_31.7100N_v0.2,1328,31.710036,-103.861768,0.010825034,1878.16,4.16663,20.9964,281,upstream,True
2833,Norway,NOR,NOR_DNS_2015_05.5200E_59.2704N_v0.2,4226,59.270428,5.51998,0.010819956,1802.85,0.592854,70.9957,231,refinery,True
2834,Russian Federation,RUS,RUS_DNG_2015_68.4091E_58.2648N_v0.2,7022,58.264826,68.409108,0.010817197,1903.51,3.05551,37.1212,264,gpp,True
2835,Russian Federation,RUS,RUS_UPS_2015_51.8837E_52.6049N_v0.2,5617,52.604871,51.88371,0.010817168,1745.33,1.63262,25.5396,278,upstream,True
2836,Indonesia,IDN,IDN_UPS_2015_103.4821E_3.4410S_v0.2,9253,-3.440968,103.482066,0.01081523,1843.94,2.40613,60.0,100,upstream,True
2837,Russian Federation,RUS,RUS_UPS_2015_45.2869E_44.9129N_v0.2,5499,44.912886,45.286852,0.010810211,1673.42,1.11543,54.0,250,upstream,True
2838,Russian Federation,RUS,RUS_UPS_2016_73.5728E_61.8356N_v0.2,7162,61.835603,73.572803,0.010807422,1780.3,2.28313,58.6331,278,upstream,True
